idx,FLOPS,Correlation,Num_of_Operations
582,2995931428571.4287,150946,134217728
583,3872745130853.796,150979,134217728
584,4169288270377.734,151002,134217728
585,1079319748460.0415,151043,134217728
586,3844348179761.121,151121,134217728
587,3228871439568.8994,151254,134217728
588,4301850256410.2563,151287,134217728
589,4396545073375.2627,151310,134217728
590,1140977336484.3496,151351,134217728
591,4112062745098.0396,151429,134217728
592,3034883617863.199,152322,134217728
593,3816364639313.0317,152355,134217728
594,4132319211822.6606,152378,134217728
595,1073518532145.3137,152419,134217728
596,3833915904936.0146,152497,134217728
597,3034952243125.905,152706,134217728
598,3816473157415.8325,152739,134217728
599,4206792916470.7725,152762,134217728
600,1083222184559.2626,152803,134217728
601,3823322261786.071,152881,134217728
602,3032757772957.3394,153146,134217728
603,3744809798833.7383,153179,134217728
604,4194172932095.872,153202,134217728
605,1073793366081.572,153243,134217728
606,3833915904936.0146,153321,134217728
607,3226387692307.6924,153454,134217728
608,4288654396728.0166,153487,134217728
609,4359983367983.3677,153510,134217728
610,1140667040606.4624,153551,134217728
611,4013568015310.547,153629,134217728
612,3037081166700.609,154522,134217728
613,3908950605778.1924,154555,134217728
614,4148668644906.0337,154578,134217728
615,1076558099989.5726,154619,134217728
616,3802525087117.8857,154697,134217728
617,3017484892086.3315,154906,134217728
618,3826810595044.621,154939,134217728
619,4083910786551.0415,154962,134217728
620,1085184004139.6483,155003,134217728
621,3876436229205.176,155081,134217728
622,3021764819776.212,155346,134217728
623,3826919708029.1963,155379,134217728
624,4056264257003.838,155402,134217728
625,1086026960982.6356,155443,134217728
626,3830305299506.293,155521,134217728
627,3189508994558.114,155654,134217728
628,4275539245667.686,155687,134217728
629,4310554260204.9004,155710,134217728
630,1136042388590.2915,155751,134217728
631,4104015655577.299,155829,134217728
632,3050402909090.909,156722,134217728
633,3778545874271.5576,156755,134217728
634,4177463599863.0522,156778,134217728
635,1079597561171.7958,156819,134217728
636,3916135967087.795,156897,134217728
637,3059232967884.576,157106,134217728
638,3816364639313.0317,157139,134217728
639,4132319211822.6606,157162,134217728
640,1089411925131.0856,157203,134217728
641,3879910039603.387,157281,134217728
642,3030498046919.0996,157546,134217728
643,3844348179761.121,157579,134217728
644,4194304000000.0,157602,134217728
645,1084062095145.788,157643,134217728
646,3898052044609.665,157721,134217728
647,3256368197588.3735,157854,134217728
648,4266840284842.32,157887,134217728
649,4405636894797.309,157910,134217728
650,1140987035950.7961,157951,134217728
651,4132319211822.6606,158029,134217728
652,2974617761131.18,158922,134217728
653,3792211115192.27,158955,134217728
654,4040633651443.538,158978,134217728
655,1084622759523.5403,159019,134217728
656,3778545874271.5576,159097,134217728
657,2949580872011.252,159306,134217728
658,3809540417801.9985,159339,134217728
659,4148540413562.8843,159362,134217728
660,1074068340775.5958,159403,134217728
661,3833915904936.0146,159481,134217728
662,2989525302922.3096,159746,134217728
663,3778545874271.5576,159779,134217728
664,4060190821913.6636,159802,134217728
665,1077379055692.0162,159843,134217728
666,3795750226244.3438,159921,134217728
667,3211565084226.646,160054,134217728
668,4173307048910.171,160087,134217728
669,4288654396728.0166,160110,134217728
670,1140987035950.7961,160151,134217728
671,4064248062015.504,160229,134217728
672,2987329519909.19,161122,134217728
673,3862158379373.8486,161155,134217728
674,4152776237623.762,161178,134217728
675,1080988772732.398,161219,134217728
676,3734806132954.8936,161297,134217728
677,2976794889992.903,161506,134217728
678,3830414611872.1465,161539,134217728
679,4198502502502.502,161562,134217728
680,1084351115312.2148,161603,134217728
681,3865606635753.579,161681,134217728
682,2959988708539.1675,161946,134217728
683,3819840282323.4766,161979,134217728
684,4177593625498.008,162002,134217728
685,1086317029938.569,162043,134217728
686,3847875003583.613,162121,134217728
687,3206577824497.6943,162254,134217728
688,4364520291363.1636,162287,134217728
689,4452404312489.634,162310,134217728
690,1139437216133.3865,162351,134217728
691,4080062256809.339,162429,134217728
692,3045903279246.568,163322,134217728
693,3751613595706.6187,163355,134217728
694,4112062745098.0396,163378,134217728
695,1077102383436.3214,163419,134217728
696,3669456981163.026,163497,134217728
697,3061465933715.0156,163706,134217728
698,3785472924187.7256,163739,134217728
699,4169158761221.3843,163762,134217728
700,1082662966846.8179,163803,134217728
701,3711670805564.0054,163881,134217728
702,3028378339350.18,164146,134217728
703,3844348179761.121,164179,134217728
